ticker,exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website
A32,UPCOM,Hàng cá nhân & Gia dụng,CT,505,0.0,6.8,6.8,2008.0,1153,,0.009,-0.027,0.137,Công ty 32,http://32jsc.com
AAA,HOSE,Hóa chất,CT,27697,0.021,382.3,382.3,2007.0,2928,2.6,-0.004,-0.039,-0.083,An Phát Bioplastics,https://anphatbioplastics.com
AAM,HOSE,Thực phẩm và đồ uống,CT,1259,0.009,10.5,12.3,2002.0,146,,-0.034,0.043,-0.405,Thủy sản Mekong,http://www.mekongfish.vn
AAS,UPCOM,Dịch vụ tài chính,CK,6012,0.011,230.0,230.0,2006.0,92,2.5,-0.028,0.008,-0.228,Chứng khoán SmartInvest,https://www.aas.com.vn
AAT,HOSE,Hàng cá nhân & Gia dụng,CT,4858,0.008,70.8,70.8,1995.0,634,2.3,-0.007,-0.127,-0.458,Tập đoàn Tiên Sơn Thanh Hóa,http://tiensonaus.com
AAV,HNX,Bất động sản,CT,7182,0.001,69.0,69.0,2010.0,13,2.4,-0.073,-0.07,0.236,Việt Tiên Sơn Địa ốc,http://aavgroup.com.vn
ABB,UPCOM,Ngân hàng,NH,28276,0.164,1035.0,1035.0,1993.0,4245,2.0,-0.008,0.007,-0.171,Ngân hàng An Bình,http://www.abbank.vn
ABC,UPCOM,Viễn thông,CT,759,0.009,20.4,20.4,2006.0,208,2.9,-0.027,-0.118,-0.334,Truyền thông VMG,https://vmgmedia.vn/home/index
ABI,UPCOM,Bảo hiểm,BH,0,0.098,71.2,72.4,2006.0,838,2.9,0.032,-0.036,-0.164,BH NH Nông Nghiệp,https://abic.com.vn
ABR,HOSE,Hàng & Dịch vụ Công nghiệp,CT,404,0.484,20.0,20.0,2012.0,16,3.0,0.005,0.242,0.13,Đầu tư Nhãn Hiệu Việt,http://www.vbinvest.com.vn
ABS,HOSE,Thực phẩm và đồ uống,CT,8822,0.0,80.0,80.0,2004.0,63,2.7,-0.021,-0.027,-0.487,DV Nông nghiệp Bình Thuận,http://www.bitagco.com
ABT,HOSE,Thực phẩm và đồ uống,CT,930,0.023,11.8,14.4,2003.0,607,3.1,-0.018,-0.078,0.104,Thủy sản Bến Tre,https://aquatexbentre.com
ABW,UPCOM,Dịch vụ tài chính,CK,1649,0.0,101.2,101.2,2011.0,142,2.3,-0.002,-0.005,-0.295,Chứng khoán An Bình,https://www.abs.vn
ACB,HOSE,Ngân hàng,NH,60034,0.3,4466.7,4466.7,2006.0,13110,3.4,0.022,0.061,0.298,ACB,https://www.acb.com.vn
ACC,HOSE,Xây dựng và Vật liệu,CT,1369,0.077,105.0,105.0,2008.0,153,3.2,0.105,0.066,0.071,Đầu tư và XD Bình Dương ACC,https://www.becamexacc.com.vn
ACE,UPCOM,Xây dựng và Vật liệu,CT,228,0.003,3.1,3.1,1982.0,377,,0.013,0.066,0.045,Bê tông An Giang,http://www.aceco.com.vn
ACG,HOSE,Tài nguyên Cơ bản,CT,477,0.385,150.8,150.8,2006.0,2633,2.5,0.014,-0.003,-0.086,Gỗ An Cường,https://www.ancuong.com
ACL,HOSE,Thực phẩm và đồ uống,CT,0,0.023,50.2,50.2,1986.0,1057,2.2,-0.008,-0.015,-0.286,Thủy sản CL An Giang,https://clfish.com
ACM,UPCOM,Tài nguyên Cơ bản,CT,5228,0.02,51.0,51.0,1996.0,13,,0.005,-0.01,-0.179,Tập đoàn Khoáng sản Á Cường,http://www.acuonggroup.vn
ACS,UPCOM,Xây dựng và Vật liệu,CT,179,0.002,4.0,4.0,2004.0,171,,0.005,-0.135,-0.168,Xây lắp Thương mại 2,http://www.acsc.com.vn
ACV,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,6445,0.036,2177.0,2177.2,2012.0,10475,2.8,0.046,0.0,0.3,Cảng Hàng không VN,https://www.vietnamairport.vn
ADC,HNX,Truyền thông,CT,250,0.083,4.0,4.0,2006.0,379,,0.065,0.044,0.157,Mĩ thuật và Truyền thông,https://adc.net.vn
ADG,HOSE,Truyền thông,CT,726,0.465,21.4,21.4,2008.0,284,2.3,-0.039,-0.069,-0.693,Clever Group,https://clevergroup.vn
ADP,HOSE,Xây dựng và Vật liệu,CT,306,0.009,23.0,23.0,2000.0,150,3.1,0.036,0.007,0.731,Sơn Á Đông,http://adongpaint.com.vn
ADS,HOSE,Hàng cá nhân & Gia dụng,CT,3643,0.002,76.4,76.4,2006.0,498,2.3,0.024,-0.001,-0.321,Dệt sợi DAMSAN,http://damsanjsc.vn
AFX,UPCOM,Bán lẻ,CT,2048,0.0,35.0,35.0,1996.0,198,2.3,-0.018,-0.044,-0.382,Xuất Nhập khẩu Nông sản Thực phẩm An Giang,https://afiex.com.vn
AG1,UPCOM,Hàng cá nhân & Gia dụng,CT,196,0.0,4.9,4.9,2006.0,476,,-0.006,-0.006,0.161,28.1 JSC,http://www.agtex28-1.com
AGE,OTC,Hàng & Dịch vụ Công nghiệp,CT,0,0.0,19.9,19.9,2011.0,915,,,,,Môi trường Đô thị An Giang,http://moitruongdothi.angiang.org.vn
AGF,UPCOM,Thực phẩm và đồ uống,CT,0,0.005,28.1,28.1,2001.0,1605,2.1,0.085,-0.006,-0.305,Thủy sản An Giang,https://agifish.com.vn
