ticker,yearReport,Market Capital (Bn. VND),P/E,P/B,EPS (VND),BVPS (VND),ROE (%),ROA (%),Net Profit Margin (%)
A32,2023,227392000000.0,9.4214672245,1.024155148,5827.82141,32651.3029439706,0.1811935211,0.0752772241,0.0550775123631311
A32,2022,204000000000.0,8.3440110279,0.9470763761,5392.166683088235,31676.4315486765,0.1616040174,0.0681801932,0.050976963116186
A32,2021,205360000000.0,113.6826803984,0.862649852,5089.5965797058825,35008.4103417647,0.1440245657,0.068099881,0.053232878497091
A32,2020,212092000000.0,5.0369739748,0.8756068956,6192.209877647058,35621.0077352941,0.1807829255,0.0912171835,0.0577931959322694
A32,2019,242080000000.0,6.0632629403,1.0825703697,6906.0029701470585,32884.6983032353,0.2212917374,0.1039218949,0.0679129301362971
A32,2018,242080000000.0,5.617241801,1.2054179423,6337.629972352941,29533.3251230882,0.2285677319,0.0888727518,0.0666917858342295
A32,2017,242080000000.0,6.8301173591,1.3731143971,5212.209121470588,25926.4632836765,0.2086815721,0.0733812167,0.0579304051090335
A32,2016,242080000000.0,6.6371725107,1.4865898446,5363.7298025,23947.4258011765,0.2232125905,0.0784365306,0.0579623586493834
AAA,2023,3662189671680.0,13.8312105502,0.6852687572,757.0752213718176,13979.916492224,0.0532785606,0.025864154,0.0229299389407938
AAA,2022,3612493987200.0,24.4876354413,0.6544506772,399.1878435855684,14439.5908352071,0.0295896322,0.014669233,0.0099801417190641
AAA,2021,2229547607680.0,8.5071169698,0.4650227867,889.1248193848974,14687.452303074,0.061242978,0.0312440856,0.022083130651747
AAA,2020,4479551474800.0,19.1419703886,1.2451543407,1182.5435131815086,16222.8884728765,0.0720520923,0.0316775866,0.03530171717144
AAA,2019,2687839623200.0,6.1478204998,0.9183240072,2689.637700527481,17096.3623699924,0.1476920121,0.0593513128,0.0497366888140982
AAA,2018,2687839623200.0,16.4727076448,1.0414408003,1052.9234828864696,15075.268796866,0.0782852754,0.0297820161,0.0225000113833765
AAA,2017,1312519811600.0,6.9137751953,0.9532751202,2671.5633230234434,16469.537142613,0.1731524776,0.0583614535,0.054880628578829
AAA,2016,894350311600.0,6.8466151013,0.9475146289,2492.5042723611214,16569.6650169048,0.1600524015,0.0564287504,0.0662316799960749
AAA,2015,777149811600.0,21.2041790761,0.9599615524,808.4016300165567,16354.8216703608,0.0498388275,0.0237031681,0.0247845511509717
AAA,2014,621720000000.0,13.2383487444,0.8002193495,1185.9485123989898,19619.6205569444,0.0706339879,0.0365159762,0.0300924316207939
AAM,2023,91980761950.0,145.3469644596,0.4539216245,56.95184495316088,16412.5249773396,0.003411929,0.0032595772,0.0051413695561324
AAM,2022,115192014630.0,7.5735486852,0.5497473747,1368.7991055862308,16971.4316591275,0.0836905899,0.0805388764,0.0797128848130157
AAM,2021,141366405950.0,626.874192073,0.7274685303,18.26522792737096,15739.5124640675,0.0011611435,0.0010949566,0.0016815263419892
AAM,2020,155564778600.0,-12.9991044324,0.8014631289,-969.2975439583212,15721.2472361401,-0.0590227471,-0.0546046207,-0.0989965266486216
AAM,2019,135193200450.0,18.0788972172,0.6394670861,672.9761512070188,17123.6334728368,0.0392765243,0.036325419,0.0384451495131093
AAM,2018,108795925950.0,11.3432706989,0.5139664198,965.3300437482972,21304.8938196711,0.0423794372,0.0398373403,0.0439432774651396
AAM,2017,138362448000.0,135.8574703295,0.5742204896,89.55463871020842,19069.3299855807,0.0046574012,0.0044423052,0.0050475141193469
AAM,2016,138362448000.0,97.9508324886,0.5647944457,124.21197815103704,19387.584428736,0.0063462279,0.0054136636,0.0057119620422869
AAM,2015,138362448000.0,59.9668423295,0.5542184597,202.8899003944336,19757.5519327564,0.0101131947,0.0082816401,0.0073325427519477
