ticker,no_shareholders
A32,505
AAA,27697
AAM,1259
AAS,6012
AAT,4858
AAV,7182
ABB,28276
ABC,759
ABI,0
ABR,404
ABS,8822
ABT,930
ABW,1649
ACB,60034
ACC,1369
ACE,228
ACG,477
ACL,0
ACM,5228
ACS,179
ACV,6445
ADC,250
ADG,726
ADP,306
ADS,3643
AFX,2048
AG1,196
AGE,0
AGF,0
AGG,3363
AGM,333
AGP,774
AGR,3968
AGX,188
AIC,0
ALT,544
ALV,477
AMC,160
AMD,16818
AME,238
AMP,194
AMS,2055
AMV,12142
ANT,423
ANV,0
APC,1467
APF,570
APG,8125
APH,0
API,3484
APL,117
APP,482
APS,13184
APT,439
ARM,106
ART,12612
ASA,444
ASG,558
ASM,16005
ASP,4360
AST,1513
ATA,0
ATB,1088
ATG,1028
ATS,161
AVC,146
AVF,1949
B82,0
BAB,1440
BAF,3616
BAL,142
BAX,287
BBC,1412
BBH,245
BBM,216
BBS,429
BBT,1418
BCA,855
BCB,264
BCC,0
BCE,3342
BCF,300
BCG,44992
BCM,6292
BCO,43
BCP,380
BCV,104
BDB,115
BDG,1044
BDT,736
BDW,401
BED,107
BEL,202
BFC,1800
BGW,283
BHA,249
BHC,467
BHG,365
BHI,3371
BHK,320
BHN,1001
BHP,363
BIC,1270
BID,27603
BIG,140
BII,8954
BIO,547
BKC,748
BKG,5380
BKH,165
BLF,0
BLI,1284
BLN,375
BLT,298
BLW,117
BMC,0
BMD,150
BMF,103
BMG,364
BMI,0
BMJ,318
BMN,201
BMP,3451
BMS,3233
BMV,0
BNA,1975
BNW,316
BOT,3992
BPC,0
BQB,392
BRC,502
BRR,905
BRS,172
BSA,458
BSC,136
BSD,239
BSG,508
BSH,120
BSI,5679
BSL,240
BSP,237
BSQ,707
BSR,32640
BST,119
BT1,274
BT6,680
BTB,363
BTD,322
BTG,211
BTH,161
BTN,621
BTP,1692
BTS,0
BTT,490
BTU,197
BTV,265
BTW,285
BVB,9570
BVG,1808
BVH,8682
BVL,243
BVN,199
BVS,3943
BWA,135
BWE,3090
BWS,739
BXH,267
C12,414
C21,619
C22,400
C32,1899
C47,3775
C4G,1276
C69,3143
C92,704
CAB,1157
CAD,1887
CAG,1025
CAN,626
CAP,285
CAR,217
CAT,177
CAV,1369
CBI,418
CBS,647
CC1,1287
CC4,407
CCA,422
CCI,356
CCL,5343
CCM,218
CCP,166
CCR,532
CCT,111
CCV,220
CDC,845
CDG,215
CDH,267
CDN,782
CDO,3644
CDP,599
CDR,186
CE1,84
CEG,90
CEN,2579
CEO,58579
CET,456
CFM,149
CFV,0
CGV,655
CH5,159
CHC,767
CHP,3835
CHS,457
CI5,133
CIA,927
CID,0
CIG,1695
CII,39257
CIP,617
CJC,128
CK8,222
CKA,176
CKD,649
CKG,4334
CKV,372
CLC,778
CLG,789
CLH,543
CLL,775
CLM,174
CLW,428
CLX,2278
CMC,383
CMD,495
CMF,175
CMG,1130
CMI,109
CMK,238
CMM,208
CMN,218
CMP,257
CMS,0
CMT,0
CMV,672
CMW,159
CMX,9602
CNA,714
CNC,564
CNG,0
CNN,236
CNT,820
COM,494
CPA,177
CPC,391
CPH,211
CPI,0
CQN,311
CQT,585
CRC,2238
CRE,6337
CSC,2594
CSI,417
CSM,5415
CST,3547
CSV,3198
CT3,385
